"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1499297,.187198,.2045942,.206689,.2087938,.20985,.2109087,.2119698,.2130336,1362,17363
.1,1.652406,2.041765,2.224974,2.246947,2.269005,2.280066,2.291149,2.302253,2.313379,1381,17628
.2,3.010023,3.687641,4.008959,4.04738,4.085925,4.105243,4.124592,4.143973,4.163384,1400,17895
.3,4.676909,5.675247,6.15343,6.210426,6.267564,6.296188,6.324846,6.35354,6.38227,1427,18252
.4,6.198543,7.460727,8.071692,8.144341,8.21713,8.253579,8.290059,8.326577,8.363131,1447,18534
.5,7.727819,9.232175,9.968018,10.05533,10.14278,10.18655,10.23034,10.27418,10.31804,1474,18897
.6,9.264968,10.99228,11.84609,11.94722,12.04846,12.09912,12.1498,12.20051,12.25124,1501,19276
.7,10.81016,12.74331,13.70895,13.82316,13.93744,13.99461,14.05179,14.109,14.16622,1529,19667
.8,12.36354,14.48713,15.55916,15.68577,15.81243,15.87578,15.93913,16.0025,16.06587,1559,20070
.9,13.92522,16.22537,17.39885,17.5373,17.67575,17.74497,17.81419,17.88342,17.95265,1589,20483
1,15.49246,17.95444,19.22475,19.37448,19.52417,19.59901,19.67383,19.74865,19.82346,1598,20617
1.1,17.06119,19.66871,21.03139,21.19189,21.35232,21.4325,21.51267,21.59283,21.67296,1603,20678
1.2,18.63119,21.36942,22.82034,22.99114,23.16184,23.24714,23.33243,23.41769,23.50291,1608,20744
1.3,20.20255,23.05816,24.59352,24.77419,24.95473,25.04495,25.13513,25.22529,25.31539,1613,20815
1.4,21.77535,24.73637,26.35259,26.54275,26.73274,26.82767,26.92257,27.01743,27.11221,1618,20890
1.5,23.34968,26.40531,28.09904,28.29832,28.49741,28.59687,28.69629,28.79567,28.89497,1624,20969
1.6,24.92565,28.06616,29.83424,30.04229,30.25014,30.35398,30.45776,30.56149,30.66514,1630,21059
1.7,26.50178,29.71767,31.55698,31.77347,31.98976,32.0978,32.20579,32.31372,32.42156,1599,20621
1.8,28.05929,31.33392,33.2401,33.46463,33.68895,33.801,33.91301,34.02495,34.13678,1515,19473
1.9,29.59278,32.91009,34.87822,35.11036,35.3423,35.45816,35.57398,35.68972,35.80537,1449,18557
2,31.11058,34.46003,36.48577,36.72514,36.96433,37.08382,37.20329,37.32266,37.44196,1404,17938
2.1,32.61681,35.9908,38.07014,38.31638,38.56248,38.68545,38.80839,38.93125,39.05403,1370,17474
2.2,34.11399,37.50678,39.63593,39.88873,40.14143,40.26773,40.39399,40.5202,40.64632,1344,17122
2.3,35.60398,39.01122,41.18661,41.44564,41.70467,41.83414,41.96359,42.09301,42.22234,1313,16701
2.4,37.07224,40.48831,42.70438,42.96922,43.23415,43.36661,43.49907,43.63151,43.76387,1234,15615
2.5,38.52189,41.9429,44.19448,44.46473,44.7352,44.87045,45.00573,45.14103,45.27626,1190,15022
2.6,39.96543,43.38979,45.67352,45.94888,46.22461,46.36253,46.50052,46.63854,46.77651,1184,14934
2.7,41.40916,44.83609,47.14964,47.4299,47.71067,47.85117,47.99176,48.1324,48.27303,1194,15078
2.8,42.8583,46.28744,48.62933,48.91431,49.19998,49.34297,49.48608,49.62928,49.77248,1216,15378
2.9,43.00364,47.74659,50.11576,50.40535,50.69579,50.8412,50.98677,51.13245,51.27816,1241,15711
3,43.00364,49.21369,51.60917,51.90323,52.19831,52.34608,52.49404,52.64215,52.79031,1265,16047
3.1,43.00364,50.68873,53.10955,53.40797,53.70756,53.85763,54.00793,54.15841,54.30896,1290,16388
3.2,43.00364,52.17167,54.61693,54.91958,55.22355,55.37587,55.52846,55.68124,55.83413,1316,16732
3.3,43.00364,53.66251,56.1313,56.43806,56.74632,56.90082,57.05564,57.21067,57.36583,1341,17081
3.4,43.00364,55.16121,57.65269,57.96345,58.27588,58.43251,58.58949,58.74671,58.90409,1367,17433
3.5,43.00364,56.66775,59.18109,59.49574,59.81222,59.97094,60.13004,60.2894,60.44895,1393,17789
3.6,43.00364,58.18213,60.71651,61.03495,61.35538,61.51613,61.67731,61.83873,62.0004,1419,18149
3.7,43.00364,59.70429,62.25896,62.58109,62.90537,63.06809,63.23129,63.39475,63.55848,1445,18512
3.8,43.00364,61.23424,63.80845,64.13416,64.46219,64.62684,64.792,64.95747,65.12318,1472,18880
3.9,43.00364,62.77194,65.36498,65.69417,66.02584,66.19237,66.35944,66.52683,66.69455,1499,19252
4,43.00364,64.31738,66.92854,67.26112,67.59634,67.76471,67.93363,68.10291,68.27255,1527,19627
4.09,43.00364,65.71262,68.3395,68.67505,69.01338,69.18333,69.35378,69.52441,69.69514,1505,19337
4.2,43.00364,67.18987,69.83184,70.02592,70.07484,70.09742,70.1188,70.13872,70.00527,1105,13866
4.3,43.00364,68.52268,70.1121,70.02592,70.07484,70.09742,70.1188,70.13872,70.00527,733,8881
4.4,43.00364,69.68301,70.1121,70.02592,70.07484,70.09742,70.1188,70.13872,70.00527,407,4656
4.5,43.00364,70.0873,70.1121,70.02592,70.07484,70.09742,70.1188,70.13872,70.00527,142,1397
