"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1657882,.1705866,.1789582,.1797621,.1805725,.1809799,.1813888,.181799,.1822105,1976,27163
.1,1.824308,1.873815,1.964065,1.972736,1.981477,1.985873,1.990284,1.99471,1.999151,1981,27239
.2,3.318219,3.403391,3.564467,3.579961,3.595585,3.603442,3.611328,3.61924,3.627178,1987,27332
.3,5.14617,5.269917,5.513884,5.537407,5.561136,5.57307,5.585048,5.597067,5.609128,1997,27472
.4,6.796711,6.949341,7.262138,7.292584,7.323308,7.338767,7.354283,7.369854,7.385483,1815,24806
.5,8.387307,8.556754,8.922724,8.959372,8.996396,9.015038,9.033762,9.052558,9.071431,1644,22317
.6,9.943524,10.12425,10.53372,10.57603,10.61885,10.64042,10.66211,10.68389,10.70577,1526,20616
.7,11.46468,11.65269,12.09677,12.1442,12.19228,12.21654,12.24094,12.26547,12.29012,1404,18847
.8,12.95511,13.1478,13.61928,13.67132,13.72417,13.75089,13.77777,13.80481,13.83202,1300,17360
.9,14.41699,14.61263,15.10552,15.16165,15.21881,15.24774,15.27689,15.30624,15.33578,1223,16253
1,15.84734,16.04469,16.55353,16.61323,16.67418,16.70509,16.73627,16.76768,16.79935,1122,14809
1.1,17.25057,17.44889,17.96957,18.03234,18.09664,18.1293,18.16229,18.19557,18.22914,1061,13946
1.2,18.62518,18.82403,19.35309,19.41845,19.4856,19.51979,19.55437,19.5893,19.62458,972,12692
1.3,19.96955,20.16864,20.70328,20.77072,20.84027,20.87576,20.9117,20.94806,20.98483,882,11414
1.4,20.99693,21.04931,21.73134,21.79918,21.86925,21.90504,21.9413,21.97797,22.01507,88,825
