"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1639006,.1686553,.1761866,.1769764,.1777731,.178174,.1785764,.1789801,.1793854,1897,26003
.1,1.80417,1.853274,1.934807,1.94333,1.951931,1.956258,1.960601,1.964961,1.969336,1906,26146
.2,3.282575,3.36712,3.513141,3.528381,3.543761,3.551499,3.559268,3.567066,3.574892,1916,26292
.3,5.092669,5.215609,5.437634,5.460786,5.484156,5.495916,5.507724,5.519578,5.531475,1930,26494
.4,6.731907,6.883944,7.170534,7.20054,7.23084,7.246092,7.261408,7.276783,7.292219,1799,24572
.5,8.319928,8.489071,8.828017,8.864218,8.900813,8.919245,8.937765,8.956366,8.975042,1643,22305
.6,9.878857,10.05947,10.44272,10.48462,10.52705,10.54843,10.56993,10.59153,10.61324,1545,20883
.7,11.40886,11.59693,12.0169,12.06402,12.1118,12.13591,12.16016,12.18455,12.20907,1440,19363
.8,12.91335,13.10621,13.55647,13.60834,13.66103,13.68766,13.71447,13.74144,13.76856,1354,18125
.9,14.3941,14.58996,15.06493,15.12111,15.1783,15.20723,15.23639,15.26574,15.29529,1289,17201
1,15.84935,16.04696,16.54147,16.60149,16.66272,16.69376,16.72506,16.7566,16.78837,1202,15946
1.1,17.28226,17.48086,17.99074,18.05416,18.11905,18.15199,18.18524,18.21878,18.25259,1150,15215
1.2,18.6921,18.89121,19.41286,19.47925,19.54738,19.58202,19.61704,19.65238,19.68805,1073,14118
1.3,20.07773,20.27708,20.80736,20.87629,20.94725,20.98339,21.01997,21.05694,21.09428,992,12974
1.4,21.05417,21.09085,21.85575,21.92523,21.9968,22.03327,22.07017,22.03672,22.07437,94,895
