"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1565374,.1616481,.1679602,.1687589,.1695655,.1699715,.1703792,.1707885,.1711994,1609,24562
.1,1.724317,1.778337,1.846467,1.855102,1.863824,1.868215,1.872624,1.877051,1.881495,1626,24827
.2,3.139162,3.233993,3.355801,3.371266,3.386887,3.394753,3.402651,3.410582,3.418543,1641,25077
.3,4.873559,5.014503,5.199526,5.223064,5.246847,5.258821,5.270848,5.282925,5.295047,1660,25396
.4,6.448979,6.626698,6.866405,6.896985,6.927892,6.943457,6.959091,6.974792,6.990552,1619,24723
.5,7.995886,8.19911,8.488181,8.525311,8.562864,8.581787,8.600799,8.619895,8.639071,1510,22938
.6,9.524966,9.746842,10.08101,10.12429,10.16811,10.1902,10.2124,10.23471,10.25712,1458,22094
.7,11.03923,11.27476,11.65005,11.69912,11.74885,11.77394,11.79917,11.82453,11.85001,1401,21178
.8,12.53925,12.7845,13.19703,13.25153,13.30684,13.33475,13.36284,13.39109,13.41948,1363,20554
.9,14.02642,14.27845,14.72454,14.78414,14.84469,14.87528,14.90607,14.93706,14.96821,1329,19998
1,15.50214,15.75883,16.23502,16.29939,16.36488,16.398,16.43136,16.46494,16.49871,1282,19253
1.1,16.96497,17.2246,17.72735,17.79618,17.86629,17.90179,17.93756,17.97358,18.00983,1254,18801
1.2,18.41807,18.67961,19.20588,19.27887,19.35333,19.39107,19.42911,19.46745,19.50606,1215,18163
1.3,19.85892,20.12153,20.66815,20.74497,20.82349,20.86333,20.90351,20.94403,20.98485,1189,17743
