"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1576394,.161499,.1672262,.167966,.168715,.1690926,.1694722,.1698537,.170237,1650,22413
.1,1.737181,1.778013,1.839816,1.847816,1.855918,1.860003,1.86411,1.868238,1.872385,1672,22726
.2,3.163736,3.235466,3.345942,3.360271,3.374783,3.382102,3.38946,3.396856,3.404287,1692,23017
.3,4.913831,5.020526,5.188287,5.210099,5.232196,5.243341,5.254549,5.265813,5.277133,1717,23384
.4,6.508495,6.643879,6.861443,6.889808,6.918551,6.933051,6.947634,6.962292,6.977023,1698,23105
.5,8.082202,8.238309,8.501102,8.535589,8.570564,8.588217,8.605975,8.623827,8.641777,1617,21936
.6,9.644061,9.816025,10.12044,10.16071,10.20158,10.22222,10.243,10.26389,10.28489,1581,21416
.7,11.19602,11.38013,11.72282,11.76854,11.815,11.83849,11.86212,11.8859,11.90983,1541,20823
.8,12.73901,12.93232,13.31009,13.36097,13.41273,13.43891,13.46527,13.4918,13.5185,1514,20441
.9,14.2741,14.47432,14.88417,14.93993,14.9967,15.02544,15.05439,15.08354,15.11289,1493,20139
1,15.80154,16.00687,16.44592,16.50626,16.56779,16.59896,16.63037,16.66201,16.69388,1459,19648
1.1,17.32186,17.53088,17.99639,18.06106,18.12708,18.16055,18.1943,18.22831,18.26258,1444,19429
1.2,18.83554,19.0472,19.53659,19.60533,19.6756,19.71125,19.74722,19.78349,19.82005,1414,18996
1.3,20.33985,20.55325,21.06385,21.13639,21.21061,21.24828,21.28629,21.32463,21.36325,1316,17586
1.4,21.01199,21.70595,22.05228,22.02968,22.00085,22.03876,22.07698,22.00368,22.04244,153,1601
