"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1596352,.1641226,.1700436,.1707999,.1715646,.1719499,.1723369,.1727258,.1731162,1726,23516
.1,1.758563,1.805895,1.869746,1.87792,1.886185,1.89035,1.894535,1.898739,1.902961,1744,23782
.2,3.201709,3.284645,3.398713,3.413344,3.428143,3.4356,3.443094,3.450622,3.458183,1761,24032
.3,4.971046,5.094041,5.267136,5.289394,5.311913,5.32326,5.334666,5.346124,5.357634,1783,24352
.4,6.58089,6.736258,6.960493,6.98941,7.018676,7.033426,7.048254,7.063152,7.078118,1737,23676
.5,8.160191,8.337282,8.607178,8.642249,8.677773,8.69569,8.713704,8.731812,8.750006,1629,22106
.6,9.722059,9.914873,10.22624,10.26707,10.30848,10.32938,10.3504,10.37154,10.39278,1573,21295
.7,11.26818,11.47221,11.82102,11.86725,11.91418,11.93789,11.96174,11.98574,12.00987,1511,20399
.8,12.80014,13.01199,13.39447,13.44574,13.49786,13.52421,13.55073,13.57744,13.60429,1466,19750
.9,14.31917,14.53635,14.94889,15.00487,15.06185,15.09069,15.11974,15.149,15.17843,1431,19239
1,15.82521,16.04588,16.48497,16.54533,16.60686,16.63803,16.66945,16.70111,16.73299,1379,18488
1.1,17.31935,17.5422,18.00458,18.06901,18.13479,18.16815,18.20179,18.23572,18.26989,1351,18089
1.2,18.80192,19.02607,19.50869,19.57687,19.64661,19.68201,19.71775,19.75381,19.79014,1305,17424
1.3,20.27094,20.49578,20.99558,21.0672,21.1406,21.17789,21.21555,21.25355,21.29187,1211,16082
1.4,21.03291,21.61205,22.03727,22.02469,22.00678,22.04436,22.08228,22.02116,22.05968,134,1369
