"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1591275,.1643035,.1706991,.1715084,.1723256,.172737,.1731501,.1735648,.1739811,1706,24963
.1,1.752895,1.80757,1.87658,1.885327,1.894163,1.89861,1.903077,1.907561,1.912063,1724,25237
.2,3.191269,3.287196,3.410546,3.426208,3.442029,3.449994,3.457993,3.466024,3.474087,1741,25495
.3,4.954614,5.097095,5.2844,5.308233,5.332312,5.344436,5.356612,5.368839,5.381114,1762,25826
.4,6.555433,6.734715,6.977215,7.008162,7.039439,7.055192,7.071012,7.086901,7.102854,1704,24926
.5,8.125964,8.330355,8.622486,8.660034,8.698013,8.717149,8.736376,8.755691,8.775088,1596,23245
.6,9.679008,9.901792,10.23925,10.283,10.32729,10.34962,10.37207,10.39463,10.41729,1541,22388
.7,11.21647,11.45258,11.83125,11.88082,11.93106,11.95641,11.9819,12.00753,12.03328,1480,21440
.8,12.73976,12.98531,13.40126,13.4563,13.51215,13.54034,13.56872,13.59724,13.62593,1437,20773
.9,14.25008,14.50219,14.95167,15.01183,15.07295,15.10384,15.13494,15.16622,15.19769,1403,20235
1,15.74775,16.00424,16.48361,16.54855,16.61463,16.64805,16.68172,16.7156,16.74971,1352,19446
1.1,17.23328,17.49255,17.99833,18.06773,18.13845,18.17426,18.21035,18.24669,18.28328,1324,19027
1.2,18.70765,18.96865,19.4976,19.57115,19.64622,19.68427,19.72263,19.7613,19.80025,1279,18328
1.3,20.16281,20.42477,20.97364,21.05101,21.13011,21.02791,21.06821,21.10884,21.00147,1069,15100
