"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1619819,.1666921,.1734028,.1741778,.1749604,.1753543,.1757499,.1761471,.1765458,1818,24862
.1,1.783671,1.832363,1.905359,1.913728,1.92218,1.926436,1.930709,1.935,1.939307,1832,25064
.2,3.246252,3.330155,3.461399,3.476369,3.491493,3.499107,3.506755,3.514434,3.522142,1846,25260
.3,5.038079,5.160191,5.360622,5.383379,5.406374,5.417953,5.429584,5.441263,5.452988,1863,25519
.4,6.664712,6.816115,7.076494,7.106023,7.135873,7.150907,7.166009,7.181177,7.196405,1775,24229
.5,8.24931,8.418126,8.729772,8.765481,8.801615,8.819825,8.838125,8.856511,8.874977,1639,22244
.6,9.810087,9.990582,10.3471,10.38854,10.43053,10.45171,10.473,10.49441,10.51591,1559,21095
.7,11.34799,11.53612,11.93133,11.97807,12.0255,12.04945,12.07353,12.09776,12.12211,1473,19852
.8,12.86555,13.05858,13.48691,13.53854,13.59102,13.61754,13.64424,13.6711,13.69812,1406,18879
.9,14.36421,14.56031,15.01673,15.07287,15.13002,15.15893,15.18806,15.21738,15.2469,1354,18137
1,15.84322,16.04111,16.52088,16.58111,16.64255,16.67368,16.70505,16.73667,16.76851,1282,17098
1.1,17.30462,17.5035,18.00257,18.06652,18.13189,18.16505,18.19851,18.23226,18.26626,1241,16508
1.2,18.74829,18.94769,19.46243,19.52972,19.59867,19.63371,19.66908,19.70479,19.7408,1177,15593
1.3,20.17297,20.37259,20.89967,20.96995,21.04211,21.07884,21.11596,21.15347,21.1913,1095,14431
1.4,21.0067,21.00592,21.97719,22.04811,22.04675,22.00336,22.04078,22.07858,22.02957,111,1101
