"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.1680152,.1728649,.1816746,.1830902,.1839162,.1843312,.1847475,.1851651,.1855839,2072,28577
.1,1.84803,1.898005,1.990595,2.007775,2.016677,2.021151,2.025639,2.030141,2.034656,2071,28566
.2,3.360153,3.446054,3.607974,3.641317,3.657219,3.665213,3.673231,3.681274,3.689341,2073,28588
.3,5.20902,5.333702,5.573545,5.628368,5.652502,5.664634,5.676806,5.689016,5.701264,2077,28649
.4,6.871242,7.024501,7.32457,7.399558,7.430752,7.446438,7.462179,7.477972,7.493814,1828,25000
.5,8.463942,8.6337,8.976092,9.068785,9.106279,9.125151,9.144097,9.163117,9.182202,1640,22266
.6,10.01574,10.19655,10.57161,10.6795,10.72273,10.74451,10.7664,10.78837,10.81045,1499,20224
.7,11.52513,11.71303,12.11258,12.23287,12.28124,12.30566,12.3302,12.35487,12.37967,1358,18192
.8,12.99737,13.18985,13.60784,13.738,13.79096,13.81774,13.84468,13.87179,13.89905,1235,16429
.9,14.43527,14.63062,15.06242,15.2002,15.25722,15.2861,15.31519,15.34449,15.37399,1142,15103
1,15.83417,16.0312,16.47265,16.61598,16.67646,16.70716,16.73812,16.76935,16.80082,1027,13469
1.1,17.20008,17.39807,17.84636,17.99364,18.05705,18.08931,18.1219,18.15482,18.18802,956,12463
1.2,18.53045,18.72897,19.1818,19.33171,19.39751,19.43107,19.46503,19.49938,19.53409,856,11052
1.3,19.82265,20.02142,20.47699,20.62852,20.69615,20.73076,20.76583,20.80136,20.83731,753,9615
1.4,20.8321,21.0309,21.06038,21.63849,21.7065,21.74133,21.77666,21.81248,21.84874,99,950
