"TIME","X1(HEAD)","X1(MID)","X1(TAIL-8)","X1(TAIL-6)","X1(TAIL-4)","X1(TAIL-3)","X1(TAIL-2)","X1(TAIL-1)","X1(TAIL)","PRESSURE","THRUST"
0,.155604,.1588717,.16439,.1651123,.1658447,.1662143,.1665861,.16696,.1673358,1575,21327
.1,1.715353,1.750042,1.809637,1.817454,1.825381,1.829383,1.833408,1.837455,1.841524,1600,21683
.2,3.124938,3.186056,3.292656,3.306665,3.320875,3.328049,3.335265,3.342522,3.349817,1622,22011
.3,4.85532,4.946544,5.108548,5.129889,5.15154,5.162472,5.173471,5.18453,5.19565,1651,22420
.4,6.433854,6.550099,6.760415,6.788189,6.816375,6.830608,6.844931,6.859334,6.873816,1652,22442
.5,8.000918,8.136707,8.391706,8.425563,8.459942,8.47731,8.49479,8.512372,8.530054,1603,21722
.6,9.561979,9.713627,10.01032,10.04997,10.09026,10.11062,10.13112,10.15174,10.17249,1587,21499
.7,11.1189,11.28355,11.61924,11.66441,11.71034,11.73357,11.75696,11.7805,11.80418,1568,21226
.8,12.67213,12.8474,13.21948,13.26991,13.32124,13.34721,13.37337,13.39971,13.42622,1560,21102
.9,14.22253,14.40646,14.81251,14.86797,14.92446,14.95306,14.98187,15.01089,15.04011,1554,21023
1,15.77045,15.96143,16.39914,16.45939,16.52082,16.55193,16.58329,16.61489,16.64671,1540,20810
1.1,17.31604,17.5127,17.97987,18.04468,18.11083,18.14435,18.17816,18.21222,18.24654,1538,20787
1.2,18.85979,19.06103,19.55556,19.62473,19.69538,19.73122,19.76736,19.8038,19.84052,1526,20612
1.3,20.39845,20.60322,21.1229,21.19617,21.27104,21.30902,21.34731,21.38589,21.42476,1431,19239
1.4,21.09,21.79227,22.04515,22.01154,22.08686,22.00881,22.04723,22.08589,22.12462,168,1793
